Mes,Año,"Número de
Empleados","Monto de
salarios nominales ( incluye pensionados)",Número de Pensionado laborando,Monto del salario nominal
1,2000,434,371499.15,,
2,2000,437,374223.04,,
3,2000,438,376529.55,,
4,2000,439,376925.62,,
5,2000,436,373641.33,,
6,2000,391,339048.43,,
7,2000,411,348917.53,,
8,2000,411,348917.53,,
9,2000,413,352773.19,,
10,2000,413,354060.14,,
11,2000,412,353346.95,,
12,2000,411,354229.63,,
1,2001,413,"356,503.80",,
2,2001,414,"358,149.20",,
3,2001,415,"358,718.20",,
4,2001,414,"357,318.20",,
5,2001,415,"357,666.20",,
6,2001,416,"359,759.20",,
7,2001,414,"359,265.80",,
8,2001,414,"359,267.80",,
9,2001,418,"361,811.20",,
10,2001,420,"363,457.20",,
11,2001,423,"365,346.80",,
12,2001,417,"363,165.20",,
1,2002,419,"364,986.80",,
2,2002,418,"364,476.80",,
3,2002,415,"362,321.60",,
4,2002,407,"357,698.60",,
5,2002,413,"359,679.80",,
6,2002,410,"359,627.00",,
7,2002,407,"356,766.60",,
8,2002,405,"356,646.80",,
9,2002,407,"358,369.80",,
10,2002,408,"359,883.80",,
11,2002,403,"354,871.20",,
12,2002,403,"354,116.60",,
1,2003,401,"352,472.60",,
2,2003,396,"348,696.20",,
3,2003,399,"350,918.00",,
4,2003,399,"351,324.00",,
5,2003,397,"350,488.60",,
6,2003,397,"352,055.80",,
7,2003,399,"353,003.20",,
8,2003,397,"383,392.20",,
9,2003,398,"385,597.60",,
10,2003,398,"384,814.00",,
11,2003,396,"382,789.60",,
12,2003,393,"378,626.20",,
1,2004,396,"382,186.00",,
2,2004,395,"381,792.00",,
3,2004,399,"384,398.80",,
4,2004,395,"381,609.20",,
5,2004,397,"383,187.20",,
6,2004,395,"381,619.20",,
7,2004,403,"386,074.60",,
8,2004,403,"386,425.20",,
9,2004,404,"388,104.00",,
10,2004,407,"383,688.00",,
11,2004,406,"390,796.00",,
12,2004,405,"391,144.60",,
1,2005,401,"390,582.00",,
2,2005,401,"391,319.00",2,"   3,359.00"
3,2005,404,"393,934.00",2,"   3,359.00"
4,2005,403,"393,308.60",2,"   3,359.00"
5,2005,405,"394,818.20",2,"   3,359.00"
6,2005,406,"395,304.20",2,"   3,359.00"
7,2005,405,"409,119.20",2,"   3,359.00"
8,2005,405,"408,909.60",2,"   3,359.00"
9,2005,406,"409,377.60",2,"   3,359.00"
10,2005,407,"410,845.40",2,"   3,359.00"
11,2005,409,"409,560.40",2,"   3,359.00"
12,2005,410,"409,767.40",2,"   3,359.00"
1,2006,414,"472,366.00",2,"   3,546.00"
2,2006,417,"476,256.00",2,"   3,546.00"
3,2006,416,"472,825.60",2,"   3,546.00"
4,2006,418,"474,964.60",2,"   3,546.00"
5,2006,419,"479,878.60",2,"   3,546.00"
6,2006,419,"480,460.60",2,"   3,546.00"
