patronal,institución,Agrupacion de Acuedo ley de Presupuesto,Agrupacion por Órganos del Estado,Agrupacion por areas de gestión
801890106,MINISTERIO DE RELACIONES EXTERIORES,Gobierno Central,Órgano Ejecutivo,Otros
1150374,INSTITUTO ESPECIALIZADO DE EDUCACION SUPERIOR FORMACION DIPLOMATICA,Gobierno Central,Órgano Ejecutivo,"Educación, ciencia y tecnología"
701150462,DIRECCION GENERAL DE MIGRACION,Gobierno Central,Órgano Ejecutivo,Seguridad pública
10790002,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
11790006,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
204800009,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
303790002,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
312890003,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
514800009,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
602890023,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
606800009,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
701890131,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
807800009,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,Gobierno Central,Órgano Ejecutivo,Protección y Seguridad Social
6800006,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
8890007,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
103790001,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
112890007,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
207800006,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
209890007,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
211790007,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
313890007,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
401890160,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
602890028,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
604800006,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
605890008,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
810790001,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
914800006,MINISTERIO DE OBRAS PUBLICAS,Gobierno Central,Órgano Ejecutivo,"Obras Públicas, Transporte, Vivienda y Desarrollo Territorial"
