Año,Mes,Empleados,Salarios
2000,1,622,"426429,18"
2000,2,618,"420376,18"
2000,3,622,"428348,65"
2000,4,655,"447091,28"
2000,5,669,"447575,51"
2000,6,691,"449546,35"
2000,7,668,"450834,17"
2000,8,778,"466736,21"
2000,9,705,"458409,49"
2000,10,723,"449611,37"
2000,11,669,"457964,09"
2000,12,717,"452683,72"
2001,1,531,"463282,36"
2001,2,552,"483032,30"
2001,3,550,"483088,77"
2001,4,543,"489579,01"
2001,5,552,"451808,68"
2001,6,564,"473231,84"
2001,7,546,"484770,68"
2001,8,546,"473912,27"
2001,9,536,"478325,30"
2001,10,527,"497442,58"
2001,11,530,"474631,60"
2001,12,554,"479289,69"
2002,1,524,"477033,03"
2002,2,525,"471897,97"
2002,3,644,"514974,35"
2002,4,633,"514139,52"
2002,5,531,"488296,65"
2002,6,668,"524161,78"
2002,7,642,"519076,31"
2002,8,527,"518743,51"
2002,9,559,"502426,52"
2002,10,557,"492966,72"
2002,11,518,"466587,36"
2002,12,544,"576918,59"
2003,1,502,"482125,10"
2003,2,491,"481649,01"
2003,3,529,"499944,09"
2003,4,532,"510247,60"
2003,5,515,"498700,70"
2003,6,531,"509628,37"
2003,7,565,"521308,01"
2003,8,566,"526857,87"
2003,9,593,"546013,86"
2003,10,602,"550495,58"
2003,11,605,"566663,18"
2003,12,634,"570923,19"
2004,1,607,"586213,14"
2004,2,599,"586876,13"
2004,3,611,"596752,82"
2004,4,620,"601043,80"
2004,5,610,"586890,42"
2004,6,637,"592746,74"
2004,7,637,"609584,98"
2004,8,586,"568437,01"
2004,9,649,"573671,40"
2004,10,572,"567806,68"
2004,11,623,"575207,52"
2004,12,666,"621469,31"
2005,1,634,"642452,73"
2005,2,640,"626354,86"
2005,3,643,"632178,35"
2005,4,652,"635738,18"
2005,5,654,"654636,95"
2005,6,687,"662106,24"
2005,7,709,"689531,14"
2005,8,684,"684114,86"
2005,9,739,"697848,93"
2005,10,814,"725505,67"
2005,11,807,"681734,57"
2005,12,721,"721085,13"
2006,1,726,"717969,07"
2006,2,737,"708023,09"
2006,3,743,"738248,86"
