,,Total,Rural,Urbana
2000,occupied,2120835,760707,1360128
2000,unoccupied,154018,58948,95070
2000,inactive,1422620,583515,839105
2000,pea,2274853,819655,1455198
2000,pet,3697473,1403170,2294303
2001,occupied,2159635,631751,1527884
2001,unoccupied,163998,47439,116559
2001,inactive,1464923,488056,976867
2001,pea,2323633,679190,1644443
2001,pet,3788556,1167246,2621310
2002,occupied,2137176,694607,1442569
2002,unoccupied,140913,47196,93717
2002,inactive,1535521,572572,962949
2002,pea,2278089,741803,1536286
2002,pet,3813610,1314375,2499235
2003,occupied,2173185,769029,1404156
2003,unoccupied,170285,69077,101208
2003,inactive,1442268,575105,867163
2003,pea,2343470,838106,1505364
2003,pet,3785738,1413211,2372527
2004,occupied,2181782,768066,1413716
2004,unoccupied,157983,59803,98180
2004,inactive,1496100,605394,890706
2004,pea,2339765,827869,1511896
2004,pet,3835865,1433263,2402602
2005,occupied,2179622,767787,1411835
2005,unoccupied,167378,57530,109848
2005,inactive,1499240,600807,898433
2005,pea,2347000,825317,1521683
2005,pet,3846240,1426124,2420116
2006,occupied,2235087,789007,1446080
2006,unoccupied,154511,67016,87495
2006,inactive,1481863,587456,894407
2006,pea,2389598,856023,1533575
2006,pet,3871461,1443479,2427982
2007,occupied,2308321,740994,1567327
2007,unoccupied,156079,59264,96815
2007,inactive,1505499,553937,951562
2007,pea,2464400,800258,1664142
2007,pet,3969899,1354195,2615704
2008,occupied,2349050,723889,1625161
2008,unoccupied,146858,52009,94849
2008,inactive,1484279,520494,963785
2008,pea,2495908,775898,1720010
2008,pet,3980187,1296392,2683795
2009,occupied,2364579,764546,1600033
2009,unoccupied,187088,64514,122574
2009,inactive,1513772,557382,956390
2009,pea,2551667,829060,1722607
2009,pet,4065439,1386442,2678997
2010,occupied,2398478,786084,1612394
2010,unoccupied,181806,64656,117150
2010,inactive,1547276,590613,956663
2010,pea,2580284,850740,1729544
2010,pet,4127560,1441353,2686207
2011,occupied,2466375,842486,1623889
2011,unoccupied,174758,59677,115081
2011,inactive,1571041,579511,991530
2011,pea,2641133,902163,1738970
2011,pet,4212174,1481674,2730500
2012,occupied,2559315,863824,1695491
2012,unoccupied,165439,52791,112648
2012,inactive,1583883,594146,989737
2012,pea,2724754,916615,1808139
2012,pet,4308637,1510761,2797876
2013,occupied,2629507,888968,1740539
2013,unoccupied,165649,62567,103082
2013,inactive,1596297,609506,986791
2013,pea,2795156,951535,1843621
2013,pet,4391453,1561041,2830412
2014,occupied,2644082,886089,1757993
2014,unoccupied,198915,72108,126807
2014,inactive,1684739,654080,1030659
2014,pea,2842997,958197,1884800
2014,pet,4527736,1612277,2915459
2015,occupied,2667032,902817,1764215
2015,unoccupied,200934,77957,122977
2015,inactive,1748689,663399,1085290
2015,pea,2867966,980774,1887192
2015,pet,4616655,1644173,2972482
